Model,FK_Readability,FK_Grade,FK_CalcGrade,Num_Words,Num_Syllables,Num_Sentences
GPT-4_RAGFS,99.593,5th Grade,1.494,291,339,34
GPT-4_RAGFS,106.116,5th Grade,0.18,298,330,43
GPT-4_RAGFS,104.746,5th Grade,0.312,261,294,39
GPT-4_RAGFS,105.956,5th Grade,0.107,360,401,55
GPT-4_RAGFS,97.496,5th Grade,1.457,282,340,39
GPT-4_RAGFS,108.043,5th Grade,-0.255,313,342,50
GPT-4_RAGFS,97.68,5th Grade,1.648,316,377,39
GPT-4_RAGFS,99.887,5th Grade,1.116,360,424,50
GPT-4_RAGFS,103.693,5th Grade,0.559,291,330,41
GPT-4_RAGFS,101.21,5th Grade,0.942,297,345,41
GPT-4_RAGFS,105.378,5th Grade,0.19,282,316,43
GPT-4_RAGFS,105.284,5th Grade,0.52,282,312,36
GPT-4_RAGFS,104.244,5th Grade,0.487,377,425,53
GPT-4_RAGFS,103.841,5th Grade,0.525,331,375,47
GPT-4_RAGFS,102.631,5th Grade,0.561,358,413,55
GPT-4_RAGFS,105.925,5th Grade,0.169,305,339,45
GPT-4_RAGFS,107.613,5th Grade,-0.152,251,275,39
GPT-4_RAGFS,100.648,5th Grade,1.002,337,394,47
GPT-4_RAGFS,108.275,5th Grade,-0.576,260,287,51
GPT-4_RAGFS,98.034,5th Grade,1.251,248,299,37
GPT-4_RAGFS,98.808,5th Grade,1.813,329,383,35
GPT-4_RAGFS,108.11,5th Grade,-0.312,340,372,56
GPT-4_RAGFS,99.808,5th Grade,0.864,350,417,57
GPT-4_RAGFS,104.944,5th Grade,0.372,317,355,45
GPT-4_RAGFS,98.076,5th Grade,1.822,361,425,40
GPT-4_RAGFS,109.374,5th Grade,-0.486,316,341,52
GPT-4_RAGFS,101.387,5th Grade,0.918,326,378,45
GPT-4_RAGFS,106.607,5th Grade,0.021,302,334,46
GPT-4_RAGFS,105.382,5th Grade,0.12,226,254,36
GPT-4_RAGFS,101.122,5th Grade,0.871,228,266,33
GPT-4_RAGNFS,94.225,5th Grade,2.64,325,393,32
GPT-4_RAGNFS,92.596,5th Grade,3.427,273,328,22
GPT-4_RAGNFS,92.975,5th Grade,3.079,303,367,27
GPT-4_RAGNFS,102.217,5th Grade,1.286,285,321,31
GPT-4_RAGNFS,90.004,5th Grade,3.343,276,346,26
GPT-4_RAGNFS,96.339,5th Grade,2.602,291,341,26
GPT-4_RAGNFS,90.041,5th Grade,3.521,352,438,31
GPT-4_RAGNFS,98.602,5th Grade,1.991,320,371,32
GPT-4_RAGNFS,95.381,5th Grade,2.425,328,393,33
GPT-4_RAGNFS,88.669,6th Grade,3.237,321,412,34
GPT-4_RAGNFS,91.17,5th Grade,2.658,332,420,39
GPT-4_RAGNFS,93.995,5th Grade,3.072,353,421,30
